Country,Country Code,Year,Electricity PRODUCTION from wind (TWh),Electricity PRODUCTION from hydro (TWh),Electricity PRODUCTION from solar (TWh),PRODUCTION of other renewables including bioenergy (TWh),SHARE of Renewables (% electricity),Population Rank,Population,Hydro ELECTRIC SHARE ONLY  (% electricity),Hydro SHARE ALL (% equivalent primary energy),Electricity CONSUMPTION from hydro (TWh),Wind SHARE ELECTRIC ONLY  (% electricity),Wind SHARE ALL  (% equivalent primary energy),Electricity GENERATED from wind (TWh),Solar ELECTRICITY ONLY (% electricity),Solar SHARE ALL (% equivalent primary energy),Electricity CONSUMED from solar (TWh),City,Air Pollution
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Mancio Lima,9
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Marituba,12
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Maua,14
BRAZIL,BRA,2018,48.12,388.97,3.44,52.13,82.919846,7,203062512,65.467735,30.113998,388.97,8.099101,3.7529275,48.12,0.5789881,0.26798302,3.44,Osasco,22
BRAZIL,BRA,2019,55.43,397.88,6.59,52.69,82.85489,7,203062512,64.313194,30.07191,397.88,8.959687,4.2314444,55.43,1.0652055,0.5029592,6.59,Osasco,20
BRAZIL,BRA,2020,56.48,396.33,10.64,56.56,84.641174,7,203062512,64.50999,31.22798,396.33,9.193157,4.4946084,56.48,1.7318554,0.84678334,10.64,Osasco,17
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Osasco,17
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Palmas,6
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Pianco,5
BRAZIL,BRA,2017,42.06,370.91,0.83,50.6,79.90915,7,203062512,63.822357,28.998528,370.91,7.23725,3.3128626,42.06,0.14281783,0.06503355,0.83,Piracicaba,12
BRAZIL,BRA,2018,48.12,388.97,3.44,52.13,82.919846,7,203062512,65.467735,30.113998,388.97,8.099101,3.7529275,48.12,0.5789881,0.26798302,3.44,Piracicaba,14
BRAZIL,BRA,2019,55.43,397.88,6.59,52.69,82.85489,7,203062512,64.313194,30.07191,397.88,8.959687,4.2314444,55.43,1.0652055,0.5029592,6.59,Piracicaba,13
BRAZIL,BRA,2020,56.48,396.33,10.64,56.56,84.641174,7,203062512,64.50999,31.22798,396.33,9.193157,4.4946084,56.48,1.7318554,0.84678334,10.64,Piracicaba,14
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Piracicaba,13
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Porto Velho,22
BRAZIL,BRA,2017,42.06,370.91,0.83,50.6,79.90915,7,203062512,63.822357,28.998528,370.91,7.23725,3.3128626,42.06,0.14281783,0.06503355,0.83,Ribeirao Preto,6
BRAZIL,BRA,2018,48.12,388.97,3.44,52.13,82.919846,7,203062512,65.467735,30.113998,388.97,8.099101,3.7529275,48.12,0.5789881,0.26798302,3.44,Ribeirao Preto,11
BRAZIL,BRA,2019,55.43,397.88,6.59,52.69,82.85489,7,203062512,64.313194,30.07191,397.88,8.959687,4.2314444,55.43,1.0652055,0.5029592,6.59,Ribeirao Preto,8
BRAZIL,BRA,2020,56.48,396.33,10.64,56.56,84.641174,7,203062512,64.50999,31.22798,396.33,9.193157,4.4946084,56.48,1.7318554,0.84678334,10.64,Ribeirao Preto,7
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Ribeirao Preto,12
BRAZIL,BRA,2019,55.43,397.88,6.59,52.69,82.85489,7,203062512,64.313194,30.07191,397.88,8.959687,4.2314444,55.43,1.0652055,0.5029592,6.59,Rio Branco,16
BRAZIL,BRA,2020,56.48,396.33,10.64,56.56,84.641174,7,203062512,64.50999,31.22798,396.33,9.193157,4.4946084,56.48,1.7318554,0.84678334,10.64,Rio Branco,15
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Rio Branco,13
BRAZIL,BRA,2020,56.48,396.33,10.64,56.56,84.641174,7,203062512,64.50999,31.22798,396.33,9.193157,4.4946084,56.48,1.7318554,0.84678334,10.64,Rio Claro,18
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Rio Claro,17
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Rio de Janeiro,13
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Santa Branca,10
BRAZIL,BRA,2019,55.43,397.88,6.59,52.69,82.85489,7,203062512,64.313194,30.07191,397.88,8.959687,4.2314444,55.43,1.0652055,0.5029592,6.59,Santa Gertrudes,19
BRAZIL,BRA,2020,56.48,396.33,10.64,56.56,84.641174,7,203062512,64.50999,31.22798,396.33,9.193157,4.4946084,56.48,1.7318554,0.84678334,10.64,Santa Gertrudes,16
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Santa Gertrudes,18
BRAZIL,BRA,2017,42.06,370.91,0.83,50.6,79.90915,7,203062512,63.822357,28.998528,370.91,7.23725,3.3128626,42.06,0.14281783,0.06503355,0.83,Santos,16
BRAZIL,BRA,2018,48.12,388.97,3.44,52.13,82.919846,7,203062512,65.467735,30.113998,388.97,8.099101,3.7529275,48.12,0.5789881,0.26798302,3.44,Santos,15
BRAZIL,BRA,2019,55.43,397.88,6.59,52.69,82.85489,7,203062512,64.313194,30.07191,397.88,8.959687,4.2314444,55.43,1.0652055,0.5029592,6.59,Santos,15
BRAZIL,BRA,2020,56.48,396.33,10.64,56.56,84.641174,7,203062512,64.50999,31.22798,396.33,9.193157,4.4946084,56.48,1.7318554,0.84678334,10.64,Santos,14
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Santos,12
BRAZIL,BRA,2018,48.12,388.97,3.44,52.13,82.919846,7,203062512,65.467735,30.113998,388.97,8.099101,3.7529275,48.12,0.5789881,0.26798302,3.44,Sao Bernardo do Campo,16
BRAZIL,BRA,2019,55.43,397.88,6.59,52.69,82.85489,7,203062512,64.313194,30.07191,397.88,8.959687,4.2314444,55.43,1.0652055,0.5029592,6.59,Sao Bernardo do Campo,17
BRAZIL,BRA,2020,56.48,396.33,10.64,56.56,84.641174,7,203062512,64.50999,31.22798,396.33,9.193157,4.4946084,56.48,1.7318554,0.84678334,10.64,Sao Bernardo do Campo,16
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Sao Bernardo do Campo,15
BRAZIL,BRA,2018,48.12,388.97,3.44,52.13,82.919846,7,203062512,65.467735,30.113998,388.97,8.099101,3.7529275,48.12,0.5789881,0.26798302,3.44,Sao Caetano do Sul,18
BRAZIL,BRA,2019,55.43,397.88,6.59,52.69,82.85489,7,203062512,64.313194,30.07191,397.88,8.959687,4.2314444,55.43,1.0652055,0.5029592,6.59,Sao Caetano do Sul,17
BRAZIL,BRA,2020,56.48,396.33,10.64,56.56,84.641174,7,203062512,64.50999,31.22798,396.33,9.193157,4.4946084,56.48,1.7318554,0.84678334,10.64,Sao Caetano do Sul,15
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Sao Caetano do Sul,16
BRAZIL,BRA,2018,48.12,388.97,3.44,52.13,82.919846,7,203062512,65.467735,30.113998,388.97,8.099101,3.7529275,48.12,0.5789881,0.26798302,3.44,Sao Jose do Rio Preto,15
BRAZIL,BRA,2019,55.43,397.88,6.59,52.69,82.85489,7,203062512,64.313194,30.07191,397.88,8.959687,4.2314444,55.43,1.0652055,0.5029592,6.59,Sao Jose do Rio Preto,15
BRAZIL,BRA,2020,56.48,396.33,10.64,56.56,84.641174,7,203062512,64.50999,31.22798,396.33,9.193157,4.4946084,56.48,1.7318554,0.84678334,10.64,Sao Jose do Rio Preto,17
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Sao Jose do Rio Preto,16
BRAZIL,BRA,2019,55.43,397.88,6.59,52.69,82.85489,7,203062512,64.313194,30.07191,397.88,8.959687,4.2314444,55.43,1.0652055,0.5029592,6.59,Sao Jose dos Campos,12
BRAZIL,BRA,2020,56.48,396.33,10.64,56.56,84.641174,7,203062512,64.50999,31.22798,396.33,9.193157,4.4946084,56.48,1.7318554,0.84678334,10.64,Sao Jose dos Campos,12
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Sao Jose dos Campos,15
BRAZIL,BRA,2017,42.06,370.91,0.83,50.6,79.90915,7,203062512,63.822357,28.998528,370.91,7.23725,3.3128626,42.06,0.14281783,0.06503355,0.83,Sao Paulo,16
BRAZIL,BRA,2018,48.12,388.97,3.44,52.13,82.919846,7,203062512,65.467735,30.113998,388.97,8.099101,3.7529275,48.12,0.5789881,0.26798302,3.44,Sao Paulo,16
BRAZIL,BRA,2019,55.43,397.88,6.59,52.69,82.85489,7,203062512,64.313194,30.07191,397.88,8.959687,4.2314444,55.43,1.0652055,0.5029592,6.59,Sao Paulo,15
BRAZIL,BRA,2020,56.48,396.33,10.64,56.56,84.641174,7,203062512,64.50999,31.22798,396.33,9.193157,4.4946084,56.48,1.7318554,0.84678334,10.64,Sao Paulo,14
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Sao Paulo,15
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Senador Guiomard,13
BRAZIL,BRA,2018,48.12,388.97,3.44,52.13,82.919846,7,203062512,65.467735,30.113998,388.97,8.099101,3.7529275,48.12,0.5789881,0.26798302,3.44,Taubate,11
BRAZIL,BRA,2019,55.43,397.88,6.59,52.69,82.85489,7,203062512,64.313194,30.07191,397.88,8.959687,4.2314444,55.43,1.0652055,0.5029592,6.59,Taubate,12
